File Path,Module Title,Current Location,Type,Concepts Covered,Purpose (1 sentence),Reading Time,Stage,Prerequisites Listed?,Demo Linked?,Redundancy Flag,Canonical Module (if duplicate),Decision,Action Notes,Priority,Owner,Status
/interactive-demos/security-dojo.html,Security Dojo,interactive-demos,demo,"eclipse attacks, Sybil attacks, network security",Interactive security scenarios,N/A,4,N/A,N/A,None,N/A,Keep,Create companion module; link from Stage 4,High,,Not Started
/interactive-demos/debt-crisis.html,Debt Crisis Visualizer,interactive-demos,demo,"inflation, Cantillon effect, debt spiral",Visualizes fiat money problems,N/A,0,N/A,N/A,None,N/A,Keep,Link from Stage 0 as motivational demo,Medium,,Not Started
/interactive-demos/energy-bucket.html,Energy Bucket,interactive-demos,demo,"energy, PoW, time",Metaphor for Bitcoin as stored energy,N/A,3,N/A,N/A,None,N/A,Review,Determine if this fits curriculum or is standalone art piece,Low,,Not Started
/interactive-demos/time-machine.html,Time Machine,interactive-demos,demo,"time preference, scarcity, economics",Explores time preference and bitcoin economics,N/A,8,N/A,N/A,None,N/A,Review,Possibly move to Stage 8 as econ demo,Low,,Not Started
/interactive-demos/bitcoin-sovereign-game/index.html,Bitcoin Sovereign Game,interactive-demos,demo,"full journey, gamified learning",Gamified full Bitcoin learning experience,N/A,All,N/A,N/A,None,N/A,Review,Assess if this should be featured more prominently,Medium,,Not Started
/paths/curious/stage-2/index.html,Curious Path - Stage 2,paths/curious,learning-path,"cryptography basics, hashing, signatures",Stage 2 for Curious learners,Variable,2,No,No,Check for overlap with Builder path Stage 2,TBD,Review,Compare with Builder path; consolidate if redundant,High,,Not Started
/paths/curious/stage-3/index.html,Curious Path - Stage 3,paths/curious,learning-path,"UTXO, transactions, blocks",Stage 3 for Curious learners,Variable,3,No,No,Check for overlap with Builder path Stage 3,TBD,Review,Compare with Builder path; consolidate if redundant,High,,Not Started
/paths/builder/stage-1/index.html,Builder Path - Stage 1,paths/builder,learning-path,"cryptography, developer focus",Stage 1 for Builder learners,Variable,1,No,No,Check for overlap with Curious path Stage 1,TBD,Review,Compare with Curious path; consolidate if redundant,High,,Not Started
/paths/builder/stage-2/index.html,Builder Path - Stage 2,paths/builder,learning-path,"developer-oriented consensus, tooling",Stage 2 for Builder learners,Variable,2,No,No,Check for overlap with Curious path Stage 2,TBD,Review,Compare with Curious path; consolidate if redundant,High,,Not Started
/ai-agents/story-navigator/lessons/inflation-story.html,Inflation Story,ai-agents,narrative,"inflation, Cantillon effect",Narrative-driven inflation explanation,Variable,0,No,No,Possible overlap with debt-crisis.html,/interactive-demos/debt-crisis.html,Review,Determine if narrative and demo should be linked or merged,Low,,Not Started
/ai-agents/story-navigator/lessons/true-cost-of-money.html,True Cost of Money,ai-agents,narrative,"money failures, trust, corruption",Narrative-driven exploration of money's hidden costs,Variable,0,No,No,Possible overlap with first-principles,/curriculum/first-principles/,Review,Link to or integrate with Stage 0 curriculum,Low,,Not Started
